Account,date,classification,value,Daily_PnL,Avg_Trade_Size,Total_Volume,Num_Trades,Long_Ratio,Taker_Ratio,Win_Rate,PnL_Bucket,Sentiment_Numeric,Binary_Target
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,Extreme Greed,84.0,187436.67582899999,3677.8091055573827,11184217.49,3041,0.4633344294639921,0.1992765537652088,0.9131864518250575,High,5,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,Neutral,50.0,0.11571700000000051,34.916666666666664,209.5,6,0.5,0.6666666666666666,0.16666666666666666,Low/Loss,3,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,Greed,74.0,37233.42552132,2056.391348425197,2089293.61,1016,0.5364173228346457,0.23031496062992127,0.8198818897637795,Medium,4,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,Fear,44.0,134468.722261,2330.3033080859777,11383531.66,4885,0.47512794268167863,0.368474923234391,0.7983623336745138,High,2,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,Fear,44.0,14010.36119204,3643.361287001287,5661783.44,1554,0.4420849420849421,0.09588159588159588,0.4510939510939511,Medium,2,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,Greed,74.0,-0.12958992,2333.2533333333336,34998.8,15,1.0,0.0,0.0,Low/Loss,4,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,Fear,44.0,195419.60423199998,2249.731112565445,6875178.28,3056,0.32035340314136124,0.09260471204188482,0.28763089005235604,High,2,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,Greed,74.0,7.3108031900000165,933.2848148148149,50397.380000000005,54,0.8703703703703703,0.6851851851851852,0.037037037037037035,Low/Loss,4,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,Fear,44.0,61212.960040670005,6453.556398446171,11629308.63,1802,0.5943396226415094,0.9483906770255272,0.33240843507214207,Medium,2,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,Neutral,50.0,-10028.847052,772.3728871391077,2942740.7,3810,0.4477690288713911,0.7503937007874015,0.31968503937007875,Low/Loss,3,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,Greed,74.0,39167.97969393,1376.8141407982262,2483772.71,1804,0.3464523281596452,0.9262749445676275,0.32095343680709537,Medium,4,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,Fear,44.0,45074.8354816,658.3625776508391,3688147.16,5602,0.4378793288111389,0.9046769011067476,0.3052481256694038,Medium,2,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,Greed,74.0,8538.18937428,2936.1985911602205,2125807.78,724,0.8867403314917127,0.9834254143646409,0.07596685082872928,Low/Loss,4,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2025-02-19,Fear,44.0,98443.77309946,3430.149134615385,7134710.2,2080,0.5855769230769231,0.9004807692307693,0.38798076923076924,High,2,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,Greed,74.0,48699.003347,1636.15022559962,6889828.6,4211,0.56946093564474,0.08026597007836618,0.418665400142484,Medium,4,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,Fear,44.0,38679.252386,1157.8793541082598,10738173.13,9274,0.6609877075695493,0.1209833944360578,0.3198188483933578,Medium,2,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,Neutral,50.0,-14643.74974527,7877.326666666667,307215.74,39,0.7948717948717948,0.8717948717948718,0.0,Low/Loss,3,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,Greed,74.0,67871.04668076,1684.2025795053005,476629.33,283,0.4416961130742049,0.5159010600706714,0.5477031802120141,Medium,4,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,Fear,44.0,19429.249332,820.6771578947369,77964.33,95,0.0,0.7578947368421053,0.8842105263157894,Medium,2,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,Greed,74.0,20724.15093739,3387.3391578947367,643594.44,190,0.4421052631578947,1.0,0.5526315789473685,Medium,4,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,Fear,44.0,8563.834103,3072.9576923076925,559278.3,182,0.7307692307692307,1.0,0.2692307692307692,Low/Loss,2,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,Greed,74.0,51.355987,1862.9299999999998,16766.37,9,0.7777777777777778,0.2222222222222222,0.2222222222222222,Low/Loss,4,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,Fear,44.0,21165.7301565536,8441.060742857142,4431556.89,525,0.5657142857142857,0.05714285714285714,0.3219047619047619,Medium,2,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,Greed,69.0,-2627.995171,11034.799511025887,11509295.89,1043,0.46883988494726747,0.9357622243528284,0.32981783317353786,Low/Loss,4,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,Extreme Greed,84.0,-1954.3113580000002,7639.724411573472,23499792.29,3076,0.49187256176853056,0.77925877763329,0.3013654096228869,Low/Loss,5,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,Neutral,50.0,59632.34949589,2875.2178940961658,4723983.0,1643,0.6202069385270846,0.8715763846622033,0.209373097991479,Medium,3,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,Greed,74.0,1420943.704503,2166.171861198738,2746705.92,1268,0.1167192429022082,0.5678233438485805,0.5670347003154574,High,4,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,Fear,44.0,549110.35144429,1818.587241192412,13421173.84,7380,0.4711382113821138,0.8917344173441735,0.3910569105691057,High,2,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,Fear,44.0,-6154.672893999999,22504.555828854896,108877041.1,4838,0.48945845390657294,0.867920628358826,0.42786275320380324,Low/Loss,2,0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,Fear,44.0,931560.511926781,3210.7751864086836,68036326.2,21190,0.5283152430391694,0.3263331760264276,0.458329400660689,High,2,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,Greed,74.0,11590.452613,2725.7805992509366,727783.42,267,0.18352059925093633,0.09363295880149813,0.15355805243445692,Medium,4,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,Fear,44.0,321442.12328357,8103.972912709181,17917884.11,2211,0.4767073722297603,0.3568521031207598,0.3713251922207146,High,2,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,Greed,74.0,681702.99527081,2693.2837964180917,26617723.76,9883,0.3128604674693919,0.3742790650612162,0.5692603460487706,High,4,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,Fear,44.0,117455.65858563,1554.8373344339798,41437969.8,26651,0.4715770515177667,0.8676597501031856,0.3821620201868598,High,2,1
