Feature,Importance
Win_Rate,0.26216775
Num_Trades,0.17749898
Long_Ratio,0.15194312
Taker_Ratio,0.12928101
Avg_Trade_Size,0.11548384
value,0.08412578
Sentiment_Numeric,0.07949953
